timestamp,latitude,longitude,heading
0,48.4925493836,-4.5044368111,161.2313503572
20000,48.4925490765,-4.5044367067,161.2313503572
40000,48.4925487693,-4.5044366024,161.2313503572
60000,48.4925484622,-4.504436498,161.2313503572
80000,48.492548155,-4.5044363936,161.2313503572
100000,48.4925478479,-4.5044362892,161.2313503572
120000,48.4925475407,-4.5044361849,161.2313503572
140000,48.4925472336,-4.5044360805,161.2313503572
160000,48.4925469264,-4.5044359761,161.2313503572
180000,48.4925466193,-4.5044358717,161.2313503572
200000,48.4925463121,-4.5044357674,161.2313503572
220000,48.492546005,-4.504435663,161.2313503572
240000,48.4925456978,-4.5044355586,161.2313503572
260000,48.4925453907,-4.5044354542,161.2313503572
280000,48.4925450835,-4.5044353499,161.2313503572
300000,48.4925447764,-4.5044352455,161.2313503572
320000,48.4925444693,-4.5044351411,161.2313503572
340000,48.4925441621,-4.5044350368,161.2313503572
360000,48.492543855,-4.5044349324,161.2313503572
380000,48.4925435478,-4.504434828,161.2313503572
400000,48.4925432407,-4.5044347236,161.2313503572
420000,48.4925429335,-4.5044346193,161.2313503572
440000,48.4925426264,-4.5044345149,161.2313503572
460000,48.4925423192,-4.5044344105,161.2313503572
480000,48.4925420121,-4.5044343061,161.2313503572
500000,48.4925417049,-4.5044342018,161.2313503572
520000,48.4925413978,-4.5044340974,161.2313503572
540000,48.4925410906,-4.504433993,161.2313503572
560000,48.4925407835,-4.5044338886,161.2313503572
580000,48.4925404763,-4.5044337843,161.2313503572
600000,48.4925401692,-4.5044336799,161.2313503572
620000,48.492539862,-4.5044335755,161.2313503572
640000,48.4925395549,-4.5044334711,161.2313503572
660000,48.4925392477,-4.5044333668,161.2313503572
680000,48.4925389406,-4.5044332624,161.2313503572
700000,48.4925386335,-4.504433158,161.2313503572
720000,48.4925383263,-4.5044330536,161.2313503572
740000,48.4925380192,-4.5044329493,161.2313503572
760000,48.492537712,-4.5044328449,161.2313503572
780000,48.4925374049,-4.5044327405,161.2313503572
800000,48.4925370977,-4.5044326362,161.2313503572
820000,48.4925367906,-4.5044325318,161.2313503572
840000,48.4925364834,-4.5044324274,161.2313503572
860000,48.4925361763,-4.504432323,161.2313503572
880000,48.4925358691,-4.5044322187,161.2313503572
900000,48.492535562,-4.5044321143,161.2313503572
920000,48.4925352548,-4.5044320099,161.2313503572
940000,48.4925349477,-4.5044319055,161.2313503572
960000,48.4925346405,-4.5044318012,161.2313503572
980000,48.4925343334,-4.5044316968,161.2313503572
1000000,48.4925340262,-4.5044315924,161.2313503572
1020000,48.4925337191,-4.504431488,161.2313503572
1040000,48.4925334119,-4.5044313837,161.2313503572
1060000,48.4925331048,-4.5044312793,161.2313503572
1080000,48.4925327977,-4.5044311749,161.2313503572
1100000,48.4925324905,-4.5044310705,161.2313503572
1120000,48.4925321834,-4.5044309662,161.2313503572
1140000,48.4925318762,-4.5044308618,161.2313503572
1160000,48.4925315691,-4.5044307574,161.2313503572
1180000,48.4925312619,-4.504430653,161.2313503572
1200000,48.4925309548,-4.5044305487,161.2313503572
1220000,48.4925306476,-4.5044304443,161.2313503572
1240000,48.4925303405,-4.5044303399,161.2313503572
1260000,48.4925300333,-4.5044302355,161.2313503572
1280000,48.4925297262,-4.5044301312,161.2313503572
1300000,48.492529419,-4.5044300268,161.2313503572
1320000,48.4925291119,-4.5044299224,161.2313503572
1340000,48.4925288047,-4.5044298181,161.2313503572
1360000,48.4925284976,-4.5044297137,161.2313503572
1380000,48.4925281904,-4.5044296093,161.2313503572
1400000,48.4925278833,-4.5044295049,161.2313503572
1420000,48.4925275761,-4.5044294006,161.2313503572
1440000,48.492527269,-4.5044292962,161.2313503572
1460000,48.4925269619,-4.5044291918,161.2313503572
1480000,48.4925266547,-4.5044290874,161.2313503572
1500000,48.4925263476,-4.5044289831,161.2313503572
1520000,48.4925260404,-4.5044288787,161.2313503572
1540000,48.4925257333,-4.5044287743,161.2313503572
1560000,48.4925254261,-4.5044286699,161.2313503572
1580000,48.492525119,-4.5044285656,161.2313503572
1600000,48.4925248118,-4.5044284612,161.2313503572
1620000,48.4925245047,-4.5044283568,161.2313503572
1640000,48.4925241975,-4.5044282524,161.2313503572
1660000,48.4925238904,-4.5044281481,161.2313503572
1680000,48.4925235832,-4.5044280437,161.2313503572
1700000,48.4925232761,-4.5044279393,161.2313503572
1720000,48.4925229689,-4.5044278349,161.2313503572
1740000,48.4925226618,-4.5044277306,161.2313503572
1760000,48.4925223546,-4.5044276262,161.2313503572
1780000,48.4925220475,-4.5044275218,161.2313503572
1800000,48.4925217403,-4.5044274175,161.2313503572
1820000,48.4925214332,-4.5044273131,161.2313503572
1840000,48.4925211261,-4.5044272087,161.2313503572
1860000,48.4925208189,-4.5044271043,161.2313503572
1880000,48.4925205118,-4.504427,161.2313503572
1900000,48.4925202046,-4.5044268956,161.2313503572
1920000,48.4925198975,-4.5044267912,161.2313503572
1940000,48.4925195903,-4.5044266868,161.2313503572
1960000,48.4925192832,-4.5044265825,161.2313503572
1980000,48.492518976,-4.5044264781,161.2313503572
2000000,48.4925186689,-4.5044263737,161.2313503572
2020000,48.4925183617,-4.5044262693,161.2313503572
2040000,48.4925180546,-4.504426165,161.2313503572
2060000,48.4925177474,-4.5044260606,161.2313503572
2080000,48.4925174403,-4.5044259562,161.2313503572
2100000,48.4925171331,-4.5044258518,161.2313503572
2120000,48.492516826,-4.5044257475,161.2313503572
2140000,48.4925165188,-4.5044256431,161.2313503572
2160000,48.4925162117,-4.5044255387,161.2313503572
2180000,48.4925159045,-4.5044254343,161.2313503572
2200000,48.4925155974,-4.50442533,161.2313503572
2220000,48.4925152903,-4.5044252256,161.2313503572
2240000,48.4925149831,-4.5044251212,161.2313503572
2260000,48.492514676,-4.5044250168,161.2313503572
2280000,48.4925143688,-4.5044249125,161.2313503572
2300000,48.4925140617,-4.5044248081,161.2313503572
2320000,48.4925137545,-4.5044247037,161.2313503572
2340000,48.4925134474,-4.5044245994,161.2313503572
2360000,48.4925131402,-4.504424495,161.2313503572
2380000,48.4925128331,-4.5044243906,161.2313503572
2400000,48.4925125259,-4.5044242862,161.2313503572
2420000,48.4925122188,-4.5044241819,161.2313503572
2440000,48.4925119116,-4.5044240775,161.2313503572
2460000,48.4925116045,-4.5044239731,161.2313503572
2480000,48.4925112973,-4.5044238687,161.2313503572
2500000,48.4925109902,-4.5044237644,161.2313503572
2520000,48.492510683,-4.50442366,161.2313503572
2540000,48.4925103759,-4.5044235556,161.2313503572
2560000,48.4925100687,-4.5044234512,161.2313503572
